Name,Type,Forward_FLOPs,FPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/model.8/model.8.6/cv1/conv/Conv,Conv,420249600,0.26%,3802112,0.13%,131328,0.21%,1x512x40x40,1x256x40x40
/model.8/model.8.6/cv1/act/Sigmoid,Sigmoid,26214400,0.02%,3276800,0.11%,0,0.00%,1x256x40x40,1x256x40x40
/model.8/model.8.6/cv1/act/Mul,Mul,819200,0.00%,3276800,0.11%,0,0.00%,1x256x40x40,1x256x40x40
/model.8/model.8.6/cv2/conv/Conv,Conv,3776512000,2.31%,11274240,0.39%,1180160,1.87%,1x256x40x40,1x512x40x40
/model.8/model.8.6/cv2/act/Sigmoid,Sigmoid,52428800,0.03%,6553600,0.23%,0,0.00%,1x512x40x40,1x512x40x40
/model.8/model.8.6/cv2/act/Mul,Mul,1638400,0.00%,6553600,0.23%,0,0.00%,1x512x40x40,1x512x40x40
/model.8/model.8.6/Add,Add,1638400,0.00%,6553600,0.23%,0,0.00%,1x512x40x40,1x512x40x40
/model.8/model.8.7/cv1/conv/Conv,Conv,420249600,0.26%,3802112,0.13%,131328,0.21%,1x512x40x40,1x256x40x40
/model.8/model.8.7/cv1/act/Sigmoid,Sigmoid,26214400,0.02%,3276800,0.11%,0,0.00%,1x256x40x40,1x256x40x40
/model.8/model.8.7/cv1/act/Mul,Mul,819200,0.00%,3276800,0.11%,0,0.00%,1x256x40x40,1x256x40x40
/model.8/model.8.7/cv2/conv/Conv,Conv,3776512000,2.31%,11274240,0.39%,1180160,1.87%,1x256x40x40,1x512x40x40
/model.8/model.8.7/cv2/act/Sigmoid,Sigmoid,52428800,0.03%,6553600,0.23%,0,0.00%,1x512x40x40,1x512x40x40
/model.8/model.8.7/cv2/act/Mul,Mul,1638400,0.00%,6553600,0.23%,0,0.00%,1x512x40x40,1x512x40x40
/model.8/model.8.7/Add,Add,1638400,0.00%,6553600,0.23%,0,0.00%,1x512x40x40,1x512x40x40
/model.9/conv/Conv,Conv,3775692800,2.31%,22155264,0.76%,4719616,7.49%,1x512x40x40,1x1024x20x20
/model.9/act/Sigmoid,Sigmoid,26214400,0.02%,3276800,0.11%,0,0.00%,1x1024x20x20,1x1024x20x20
/model.9/act/Mul,Mul,819200,0.00%,3276800,0.11%,0,0.00%,1x1024x20x20,1x1024x20x20
/model.10/model.10.0/cv1/conv/Conv,Conv,419840000,0.26%,3737600,0.13%,524800,0.83%,1x1024x20x20,1x512x20x20
/model.10/model.10.0/cv1/act/Sigmoid,Sigmoid,13107200,0.01%,1638400,0.06%,0,0.00%,1x512x20x20,1x512x20x20
/model.10/model.10.0/cv1/act/Mul,Mul,409600,0.00%,1638400,0.06%,0,0.00%,1x512x20x20,1x512x20x20
/model.10/model.10.0/cv2/conv/Conv,Conv,3775692800,2.31%,22155264,0.76%,4719616,7.49%,1x512x20x20,1x1024x20x20
/model.10/model.10.0/cv2/act/Sigmoid,Sigmoid,26214400,0.02%,3276800,0.11%,0,0.00%,1x1024x20x20,1x1024x20x20
/model.10/model.10.0/cv2/act/Mul,Mul,819200,0.00%,3276800,0.11%,0,0.00%,1x1024x20x20,1x1024x20x20
/model.10/model.10.0/Add,Add,819200,0.00%,3276800,0.11%,0,0.00%,1x1024x20x20,1x1024x20x20
/model.10/model.10.1/cv1/conv/Conv,Conv,419840000,0.26%,3737600,0.13%,524800,0.83%,1x1024x20x20,1x512x20x20
/model.10/model.10.1/cv1/act/Sigmoid,Sigmoid,13107200,0.01%,1638400,0.06%,0,0.00%,1x512x20x20,1x512x20x20
/model.10/model.10.1/cv1/act/Mul,Mul,409600,0.00%,1638400,0.06%,0,0.00%,1x512x20x20,1x512x20x20
/model.10/model.10.1/cv2/conv/Conv,Conv,3775692800,2.31%,22155264,0.76%,4719616,7.49%,1x512x20x20,1x1024x20x20
/model.10/model.10.1/cv2/act/Sigmoid,Sigmoid,26214400,0.02%,3276800,0.11%,0,0.00%,1x1024x20x20,1x1024x20x20
/model.10/model.10.1/cv2/act/Mul,Mul,819200,0.00%,3276800,0.11%,0,0.00%,1x1024x20x20,1x1024x20x20
/model.10/model.10.1/Add,Add,819200,0.00%,3276800,0.11%,0,0.00%,1x1024x20x20,1x1024x20x20
/model.10/model.10.2/cv1/conv/Conv,Conv,419840000,0.26%,3737600,0.13%,524800,0.83%,1x1024x20x20,1x512x20x20
/model.10/model.10.2/cv1/act/Sigmoid,Sigmoid,13107200,0.01%,1638400,0.06%,0,0.00%,1x512x20x20,1x512x20x20
/model.10/model.10.2/cv1/act/Mul,Mul,409600,0.00%,1638400,0.06%,0,0.00%,1x512x20x20,1x512x20x20
/model.10/model.10.2/cv2/conv/Conv,Conv,3775692800,2.31%,22155264,0.76%,4719616,7.49%,1x512x20x20,1x1024x20x20
/model.10/model.10.2/cv2/act/Sigmoid,Sigmoid,26214400,0.02%,3276800,0.11%,0,0.00%,1x1024x20x20,1x1024x20x20
/model.10/model.10.2/cv2/act/Mul,Mul,819200,0.00%,3276800,0.11%,0,0.00%,1x1024x20x20,1x1024x20x20
/model.10/model.10.2/Add,Add,819200,0.00%,3276800,0.11%,0,0.00%,1x1024x20x20,1x1024x20x20
/model.10/model.10.3/cv1/conv/Conv,Conv,419840000,0.26%,3737600,0.13%,524800,0.83%,1x1024x20x20,1x512x20x20
/model.10/model.10.3/cv1/act/Sigmoid,Sigmoid,13107200,0.01%,1638400,0.06%,0,0.00%,1x512x20x20,1x512x20x20
